,DT,SVM,KNN,LOG,Bagging,Adaboost,ImpME,ExpME
AEEEM-EQ,0.7,0.767692308,0.664615385,0.8,0.74,0.773846154,0.766153846,0.763076923
AEEEM-JDT,0.7855,0.8175,0.822,0.8345,0.826,0.7775,0.82,0.8195
AEEEM-LUCENE,0.835251799,0.772661871,0.852517986,0.729496403,0.870503597,0.761870504,0.821582734,0.816546763
AEEEM-MYLYN,0.805898123,0.78230563,0.812868633,0.74772118,0.880697051,0.782841823,0.824128686,0.825737265
AEEEM-PDE,0.797,0.804333333,0.841,0.770333333,0.852333333,0.761,0.835333333,0.836
JIRA-ACTIVEMQ,0.862599469,0.871618037,0.882758621,0.866312997,0.902917772,0.860742706,0.900530504,0.899204244
JIRA-DERBY,0.822735675,0.846210721,0.831608133,0.803696858,0.885397412,0.835859519,0.858040665,0.855822551
JIRA-GROOVY,0.88,0.838181818,0.909090909,0.825454545,0.911515152,0.873939394,0.902424242,0.903030303
JIRA-HBASE,0.783490566,0.808962264,0.792924528,0.810849057,0.84009434,0.826415094,0.833018868,0.832075472
JIRA-HIVE,0.835915493,0.863732394,0.861971831,0.8,0.883802817,0.835211268,0.86584507,0.864084507
JIRA-JRUBY,0.872789116,0.818367347,0.83537415,0.804081633,0.917687075,0.820408163,0.871428571,0.872108844
JIRA-WICKET,0.86203966,0.831728045,0.866572238,0.787535411,0.899433428,0.845609065,0.871671388,0.870254958
PROMISE-ANT,0.718120805,0.75704698,0.73557047,0.773154362,0.808724832,0.75704698,0.793959732,0.789261745
PROMISE-CAMEL,0.716,0.772,0.737714286,0.727428571,0.773142857,0.672,0.758857143,0.757714286
PROMISE-IVY,0.828169014,0.842253521,0.771830986,0.84084507,0.833802817,0.836619718,0.832394366,0.836619718
PROMISE-JEDIT,0.741935484,0.717741935,0.790322581,0.643548387,0.796774194,0.741935484,0.75483871,0.759677419
PROMISE-LOG,0.733333333,0.703703704,0.72962963,0.87037037,0.777777778,0.82962963,0.788888889,0.792592593
PROMISE-POI,0.750793651,0.679365079,0.726984127,0.638095238,0.753968254,0.782539683,0.712698413,0.714285714
PROMISE-TOMCAT,0.85,0.869767442,0.877906977,0.871511628,0.877325581,0.848255814,0.888372093,0.89127907
PROMISE-VELOCITY,0.665217391,0.630434783,0.706521739,0.702173913,0.706521739,0.673913043,0.754347826,0.758695652
PROMISE-XALAN,0.788965517,0.751724138,0.843448276,0.72,0.844827586,0.783448276,0.816551724,0.817241379
PROMISE-XERCES,0.786813187,0.712087912,0.838461538,0.734065934,0.804395604,0.784615385,0.791208791,0.794505495
