,DT,SVM,KNN,LOG,Bagging,Adaboost,ImpME,ExpME
AEEEM-EQ,0.692142857,0.768333333,0.652857143,0.8,0.734761905,0.772619048,0.765238095,0.762142857
AEEEM-JDT,0.717160376,0.798240166,0.74274566,0.800055741,0.742315655,0.745222169,0.787163561,0.786853002
AEEEM-LUCENE,0.643358396,0.642481203,0.644423559,0.699498747,0.606077694,0.636842105,0.731704261,0.729072682
AEEEM-MYLYN,0.698998342,0.683655706,0.615339182,0.71327024,0.721711799,0.783382841,0.701457585,0.705322603
AEEEM-PDE,0.620377937,0.67495744,0.641113381,0.678430371,0.616939053,0.677170582,0.693701055,0.696731359
JIRA-ACTIVEMQ,0.79578125,0.818396382,0.80765625,0.847713816,0.822415022,0.840827851,0.867149123,0.866367873
JIRA-DERBY,0.690525976,0.772655674,0.702416482,0.777370425,0.714681589,0.741975252,0.782528863,0.781876382
JIRA-GROOVY,0.775662252,0.791698202,0.833680227,0.778263955,0.773438978,0.86307947,0.833278146,0.84333018
JIRA-HBASE,0.688968407,0.754023211,0.692746615,0.774255319,0.726853643,0.779690522,0.783172147,0.780283688
JIRA-HIVE,0.780150659,0.820839925,0.767834275,0.746229755,0.801619586,0.74906968,0.812169492,0.80980791
JIRA-JRUBY,0.782872727,0.735890909,0.667236364,0.796781818,0.833618182,0.798890909,0.830763636,0.833036364
JIRA-WICKET,0.685572205,0.673619874,0.665934981,0.697029443,0.655914826,0.74290659,0.730332107,0.729543463
PROMISE-ANT,0.637743006,0.727038881,0.631282598,0.747368421,0.730571361,0.738288288,0.750082978,0.743468468
PROMISE-CAMEL,0.608274579,0.724882491,0.593360752,0.697610654,0.64351743,0.687191539,0.663141402,0.661427732
PROMISE-IVY,0.573924731,0.581989247,0.489426523,0.619175627,0.534408602,0.612007168,0.533602151,0.536021505
PROMISE-JEDIT,0.711904762,0.698809524,0.778571429,0.638244048,0.734672619,0.727083333,0.74047619,0.746130952
PROMISE-LOG,0.728125,0.673295455,0.713636364,0.884943182,0.769886364,0.836363636,0.793465909,0.798011364
PROMISE-POI,0.654318182,0.602727273,0.560568182,0.659204545,0.554659091,0.651136364,0.621818182,0.622727273
PROMISE-TOMCAT,0.673684211,0.728586171,0.664017888,0.849415205,0.642948056,0.77872377,0.72751978,0.73376333
PROMISE-VELOCITY,0.644866071,0.605803571,0.612276786,0.653348214,0.672544643,0.645089286,0.737053571,0.734151786
PROMISE-XALAN,0.634983292,0.649310777,0.643984962,0.669047619,0.626900585,0.647451963,0.675438596,0.678070175
PROMISE-XERCES,0.70127186,0.648529412,0.785135135,0.680166932,0.696224165,0.697655008,0.749284579,0.755842607
