,DT,SVM,KNN,LOG,Bagging,Adaboost,ImpME,ExpME
AEEEM-EQ,0.691973825,0.766939426,0.649864697,0.799212592,0.735513124,0.772136029,0.764949941,0.761846542
AEEEM-JDT,0.692050796,0.750363896,0.730378822,0.764809252,0.733273845,0.700158644,0.748238207,0.747678012
AEEEM-LUCENE,0.545447147,0.514239333,0.557194282,0.506910802,0.551999136,0.507093067,0.567131008,0.56307746
AEEEM-MYLYN,0.644375314,0.621859411,0.601026495,0.612805442,0.717644542,0.662040497,0.65822209,0.66083698
AEEEM-PDE,0.589858633,0.624230702,0.628528059,0.604766021,0.617880342,0.598977686,0.655443864,0.657435435
JIRA-ACTIVEMQ,0.761874988,0.779015153,0.786691317,0.783666657,0.814865343,0.776220512,0.826681828,0.824889091
JIRA-DERBY,0.659713179,0.717970384,0.672841164,0.684660841,0.7272456,0.695521543,0.732955897,0.730594561
JIRA-GROOVY,0.706053287,0.670380698,0.765093689,0.654868571,0.744635615,0.731837514,0.755524276,0.759988945
JIRA-HBASE,0.687471203,0.738838039,0.695317849,0.748938372,0.745574385,0.762490494,0.769583685,0.767515227
JIRA-HIVE,0.764697035,0.803683973,0.780280398,0.722651012,0.81522686,0.749033428,0.802404877,0.800013376
JIRA-JRUBY,0.76346349,0.696636778,0.670276063,0.710260814,0.836716724,0.72480517,0.781950701,0.783642682
JIRA-WICKET,0.663742975,0.634202761,0.656389748,0.615850338,0.679066625,0.679666452,0.697494614,0.695722707
PROMISE-ANT,0.634632056,0.705824,0.636419016,0.724939167,0.738766906,0.710684605,0.739019567,0.733106651
PROMISE-CAMEL,0.600020888,0.696275601,0.595541582,0.656536125,0.64760155,0.619602077,0.655219657,0.653303959
PROMISE-IVY,0.578536986,0.592089289,0.489809852,0.623714343,0.535671007,0.614870773,0.537516474,0.540654226
PROMISE-JEDIT,0.678527917,0.658280921,0.73746862,0.590353934,0.721863329,0.685094146,0.69846991,0.704141674
PROMISE-LOG,0.722967671,0.676528755,0.715610199,0.869302766,0.769701702,0.826429118,0.785242977,0.789177058
PROMISE-POI,0.597500908,0.538589784,0.536255065,0.539048939,0.541388522,0.611720229,0.562595791,0.563519039
PROMISE-TOMCAT,0.656048624,0.703586776,0.672646365,0.754677164,0.657347139,0.706050207,0.722555158,0.729003779
PROMISE-VELOCITY,0.630632853,0.593599545,0.618016602,0.651620655,0.66526409,0.634576376,0.723203577,0.724827278
PROMISE-XALAN,0.607937064,0.598365752,0.64711321,0.590383447,0.635008806,0.613108311,0.650205389,0.652100322
PROMISE-XERCES,0.681270291,0.612014697,0.757959095,0.639479238,0.68882355,0.676927082,0.70725002,0.711890584
