,DT,SVM,KNN,LOG,Bagging,Adaboost,ImpME,ExpME
AEEEM-EQ,0.395125106,0.536070145,0.322644653,0.599235278,0.475754125,0.546657639,0.530385961,0.524192292
AEEEM-JDT,0.394130169,0.522724786,0.463123799,0.541890394,0.468805886,0.425599125,0.512416509,0.511676394
AEEEM-LUCENE,0.158111331,0.138505296,0.168758465,0.179825933,0.13636983,0.130369955,0.24063148,0.235617715
AEEEM-MYLYN,0.31688709,0.281878212,0.206561925,0.30249256,0.436022981,0.40564384,0.334138905,0.339864399
AEEEM-PDE,0.196079177,0.275093238,0.259801527,0.260156699,0.236647514,0.254960863,0.325142693,0.329523654
JIRA-ACTIVEMQ,0.533172662,0.568594763,0.576649415,0.591330066,0.630512084,0.577785242,0.662755868,0.659684058
JIRA-DERBY,0.33037309,0.456355608,0.35493645,0.422946348,0.456780052,0.408518017,0.482255789,0.478621381
JIRA-GROOVY,0.437432089,0.40488359,0.549514708,0.379350121,0.494435783,0.523512709,0.535337327,0.546789273
JIRA-HBASE,0.376326659,0.481775891,0.391254538,0.506713666,0.501917288,0.529950872,0.542304695,0.538216592
JIRA-HIVE,0.533160286,0.610472071,0.562964661,0.453319056,0.63335059,0.500863709,0.60595014,0.60125173
JIRA-JRUBY,0.532889561,0.408400678,0.34089541,0.47099436,0.67387362,0.487872274,0.579238522,0.582598141
JIRA-WICKET,0.332891905,0.284409711,0.314097582,0.2836855,0.371203294,0.386860795,0.403459516,0.400383271
PROMISE-ANT,0.27124294,0.422068037,0.275077961,0.460183558,0.480254094,0.437841737,0.481413933,0.46917534
PROMISE-CAMEL,0.204291294,0.406568671,0.191805314,0.342317882,0.297101177,0.311087433,0.312577867,0.308791322
PROMISE-IVY,0.161560173,0.195316868,-0.019431465,0.249479696,0.086504209,0.231412995,0.08758304,0.095782632
PROMISE-JEDIT,0.378478598,0.348264953,0.497266818,0.234789533,0.449027087,0.400552008,0.424513424,0.435323549
PROMISE-LOG,0.459580522,0.371501479,0.433959913,0.757498186,0.541187513,0.66443563,0.579280485,0.587876685
PROMISE-POI,0.236951351,0.146615115,0.095673398,0.215824768,0.093768902,0.246783032,0.179406565,0.18073876
PROMISE-TOMCAT,0.316444814,0.413071204,0.346670512,0.548340766,0.319671643,0.442973245,0.445489879,0.458570703
PROMISE-VELOCITY,0.274869805,0.199081887,0.251509853,0.303632449,0.337630481,0.277382617,0.455064907,0.456267433
PROMISE-XALAN,0.230842044,0.2325348,0.294972252,0.247851755,0.273088859,0.244350626,0.309360693,0.313754852
PROMISE-XERCES,0.370673684,0.251654582,0.523574653,0.306157783,0.37998055,0.363922081,0.435772787,0.445606774
